rodDer-X,rodDer-Y,rodDer-Z,rodIzq-X,rodIzq-Y,rodIzq-Z,tobDer-Y,tobDer-X,tobDer-Z,tobIzq-X,tobIzq-Y,tobIzq-Z,pecho-X,pecho-Y,caso
3.85546875,3.66015625,4.099609375,3.831054688,3.733398438,4.0703125,3.538085938,3.58203125,3.875,3.704101563,3.62109375,4.01171875,3.616210938,3.767578125,control
3.591796875,3.6796875,4.041015625,3.689453125,3.645507813,4.2265625,3.6796875,3.11328125,4.133789063,3.625976563,3.71875,4.294921875,3.650390625,3.655273438,control
3.66015625,3.635742188,4.016601563,3.8359375,3.884765625,4.109375,3.640625,3.831054688,4.045898438,4.358398438,3.528320313,3.918945313,3.640625,3.865234375,control
3.71875,3.591796875,4.036132813,3.752929688,3.6796875,4.01171875,3.547851563,3.899414063,3.782226563,3.69921875,3.630859375,4.01171875,3.616210938,3.811523438,control
3.723632813,3.704101563,4.021484375,3.923828125,3.928710938,4.001953125,3.723632813,3.801757813,4.265625,3.669921875,3.640625,4.016601563,3.591796875,3.77734375,control
3.528320313,3.674804688,3.918945313,3.704101563,3.674804688,4.036132813,3.69921875,3.77734375,4.319335938,3.728515625,3.640625,4.133789063,3.640625,3.806640625,control
3.396484375,3.689453125,4.001953125,3.821289063,3.958007813,3.831054688,3.640625,3.831054688,4.041015625,3.943359375,3.606445313,4.192382813,3.650390625,3.787109375,control
3.845703125,3.845703125,4.216796875,3.69921875,3.787109375,4.03125,3.66015625,3.904296875,3.9140625,3.694335938,3.616210938,4.016601563,3.611328125,3.772460938,control
3.752929688,3.694335938,3.943359375,3.655273438,3.58203125,4.211914063,3.860351563,3.171875,4.065429688,3.586914063,3.71875,4.021484375,3.665039063,3.71875,control
3.494140625,3.655273438,4.041015625,3.689453125,3.640625,4.236328125,3.806640625,3.098632813,4.138671875,3.62109375,3.665039063,4.221679688,3.665039063,3.684570313,control
3.46484375,3.704101563,3.977539063,3.752929688,3.694335938,4.01171875,3.279296875,3.787109375,4.407226563,3.723632813,3.640625,4.036132813,3.674804688,3.713867188,control
3.708984375,3.655273438,4.01171875,3.69921875,3.8359375,4.006835938,3.665039063,3.826171875,4.036132813,3.728515625,3.665039063,4.026367188,3.650390625,3.71875,control
3.860351563,3.586914063,4.021484375,3.791992188,3.811523438,4.01171875,3.416015625,3.767578125,3.899414063,3.713867188,3.640625,4.01171875,3.616210938,3.791992188,control
3.6796875,3.713867188,4.001953125,3.606445313,3.704101563,3.923828125,3.655273438,3.811523438,4.05078125,3.430664063,3.694335938,3.997070313,3.611328125,3.787109375,control
3.748046875,3.684570313,3.987304688,3.645507813,3.69921875,4.216796875,3.782226563,3.196289063,3.8359375,3.62109375,3.743164063,4.060546875,3.669921875,3.694335938,control
3.713867188,3.6796875,4.006835938,3.801757813,3.928710938,4.065429688,3.635742188,3.821289063,4.045898438,4.32421875,3.499023438,4.055664063,3.62109375,3.81640625,control
3.801757813,3.66015625,4.080078125,3.748046875,3.728515625,4.016601563,3.518554688,4.036132813,3.831054688,3.69921875,3.625976563,4.01171875,3.635742188,3.806640625,control
3.772460938,3.704101563,4.041015625,3.513671875,3.71875,4.03125,3.650390625,3.801757813,4.045898438,3.396484375,3.6015625,4.026367188,3.58203125,3.748046875,control
3.479492188,3.73828125,3.9140625,3.6796875,3.723632813,4.03125,3.596679688,3.943359375,4.080078125,3.708984375,3.645507813,4.021484375,3.630859375,3.811523438,control
3.713867188,3.689453125,4.01171875,3.484375,4.026367188,3.865234375,3.669921875,3.81640625,4.080078125,3.743164063,3.645507813,4.036132813,3.5625,3.767578125,control
3.547851563,3.708984375,3.928710938,3.708984375,3.743164063,4.006835938,3.6796875,3.791992188,4.158203125,3.713867188,3.645507813,4.026367188,3.640625,3.821289063,control
3.279296875,3.50390625,4.01171875,3.743164063,3.865234375,3.85546875,3.635742188,3.831054688,4.05078125,3.694335938,3.630859375,4.075195313,3.6796875,3.772460938,control
3.665039063,3.704101563,4.01171875,4.075195313,3.977539063,4.01171875,3.650390625,3.806640625,4.163085938,3.684570313,3.630859375,4.021484375,3.586914063,3.782226563,control
3.508789063,3.733398438,3.953125,3.713867188,3.689453125,4.041015625,3.704101563,3.845703125,4.397460938,3.728515625,3.645507813,4.099609375,3.62109375,3.821289063,control
3.420898438,3.752929688,4.08984375,3.801757813,3.831054688,3.811523438,3.616210938,3.831054688,4.05078125,3.655273438,3.54296875,4.05078125,3.674804688,3.772460938,control
