rodDer-X,rodDer-Y,rodDer-Z,rodIzq-X,rodIzq-Y,rodIzq-Z,tobDer-Y,tobDer-X,tobDer-Z,tobIzq-X,tobIzq-Y,tobIzq-Z,pecho-X,pecho-Y,caso
3.728515625,3.77734375,3.943359375,3.840820313,3.85546875,3.997070313,3.826171875,3.640625,4.045898438,3.66015625,3.58203125,4.177734375,3.489257813,3.567382813,1
3.655273438,3.694335938,4.026367188,3.728515625,3.860351563,3.982421875,3.684570313,3.66015625,4.0703125,3.6796875,3.586914063,4.006835938,3.46484375,3.479492188,1
3.7578125,3.69921875,4.075195313,3.616210938,3.723632813,4.006835938,3.665039063,3.77734375,3.806640625,3.743164063,3.557617188,3.982421875,3.596679688,3.62109375,1
3.6796875,3.733398438,4.016601563,3.81640625,3.772460938,4.041015625,3.684570313,3.669921875,4.0703125,3.826171875,3.689453125,3.962890625,3.5625,3.704101563,1
3.494140625,3.684570313,4.045898438,3.767578125,3.77734375,3.9921875,3.54296875,3.987304688,3.865234375,3.684570313,3.616210938,4.016601563,3.635742188,3.801757813,0
3.645507813,3.645507813,3.987304688,3.674804688,3.748046875,4.055664063,3.948242188,3.196289063,4.143554688,3.650390625,3.479492188,3.850585938,3.577148438,3.689453125,1
3.567382813,3.6796875,4.006835938,3.787109375,3.787109375,3.982421875,3.708984375,3.572265625,4.036132813,3.6796875,3.586914063,4.01171875,3.733398438,3.342773438,1
3.752929688,3.743164063,3.987304688,3.8359375,3.948242188,4.021484375,3.655273438,3.796875,4.045898438,4.63671875,4.294921875,4.133789063,3.58203125,3.728515625,0
3.479492188,3.689453125,3.904296875,3.655273438,3.6796875,4.021484375,3.635742188,3.875,4.109375,3.728515625,3.650390625,4.021484375,3.630859375,3.801757813,0
3.708984375,3.748046875,4.01171875,3.748046875,3.796875,3.997070313,3.669921875,3.713867188,4.060546875,3.713867188,3.6015625,4.006835938,3.577148438,3.6015625,1
3.62109375,3.767578125,4.001953125,3.796875,3.821289063,3.967773438,3.728515625,3.66015625,4.060546875,3.674804688,3.58203125,4.006835938,3.577148438,3.708984375,1
3.713867188,3.743164063,4.016601563,3.743164063,3.782226563,4.01171875,3.674804688,3.708984375,4.060546875,3.69921875,3.596679688,4.006835938,3.528320313,3.567382813,1
3.689453125,3.689453125,4.026367188,3.73828125,3.796875,3.948242188,3.665039063,3.62109375,4.080078125,3.918945313,3.723632813,4.143554688,3.5625,3.7578125,1
3.469726563,3.640625,3.831054688,3.54296875,3.586914063,4.392578125,3.5625,3.801757813,4.568359375,3.5234375,3.430664063,3.279296875,3.611328125,3.708984375,0
3.494140625,3.674804688,3.918945313,3.630859375,3.62109375,4.114257813,3.8359375,3.611328125,4.319335938,3.694335938,3.655273438,4.368164063,3.640625,3.689453125,0
3.723632813,3.752929688,4.006835938,3.733398438,3.787109375,4.001953125,3.674804688,3.71875,4.065429688,3.71875,3.606445313,4.006835938,3.552734375,3.611328125,1
3.508789063,3.640625,3.889648438,3.782226563,3.796875,3.977539063,3.655273438,3.650390625,4.0703125,3.71875,3.547851563,4.055664063,3.552734375,3.748046875,1
3.889648438,3.806640625,4.172851563,3.73828125,3.782226563,4.036132813,3.635742188,3.918945313,3.93359375,3.694335938,3.630859375,4.01171875,3.62109375,3.801757813,0
